"Ngày","Hà Nội","TP HCM","Hưng Yên","Hà Nam","Vĩnh Phúc","Đà Nẵng","Yên Bái","Quảng Nam","Đồng Nai","Hải Dương","Thái Bình","Quảng Ngãi","Lạng Sơn","Bắc Ninh","Thanh Hóa","Điện Biên","Nghệ An","Nam Định","Phú Thọ","Quảng Ninh","Bắc Giang","Hải Phòng","Thừa Thiên Huế","Đăk Lăk","Hòa Bình","Quảng Trị","Tuyên Quang","Sơn La","Ninh Bình","Thái Nguyên","Long An","Bạc Liêu","Gia Lai","Tây Ninh","Bình Dương","Trà Vinh","Đồng Tháp","Hà Tĩnh","Tiền Giang","Bắc Kạn","Lào Cai","An Giang","Vĩnh Long","Kiên Giang","Khánh Hòa","Phú Yên","Bình Thuận","Cần Thơ","Bà Rịa - Vũng Tàu","Bình Định","Bình Phước","Lâm Đồng","Ninh Thuận","Bến Tre","Sóc Trăng","Cà Mau","Hậu Giang","Đăk Nông","Kon Tum","Hà Giang","Quảng Bình","Lai Châu","Cao Bằng","","","","","",""
"16/6","0","6","0","0","0","0","0","0","0","0","0","0","1","19","0","0","0","0","0","0","59","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"17/6","0","7","0","0","0","0","0","0","0","0","0","0","1","16","0","0","0","0","0","0","72","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"18/6","0","8","0","0","0","0","0","0","0","0","0","0","1","16","0","0","0","0","0","0","71","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"19/6","0","9","0","0","0","1","0","0","0","0","0","0","1","16","0","0","1","0","0","0","77","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"20/6","0","9","0","0","0","3","0","0","0","0","0","0","1","13","0","0","1","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"21/6","0","10","0","0","0","3","0","0","0","0","0","0","1","13","0","0","1","0","0","0","71","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"22/6","0","11","0","0","0","4","0","0","0","0","0","0","1","10","0","0","1","0","0","0","60","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"23/6","0","11","1","0","0","4","0","0","0","0","0","0","1","8","0","0","1","0","0","0","45","0","0","0","0","0","0","0","0","0","1","0","0","0","6","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"24/6","0","11","1","0","0","6","0","0","0","0","0","0","0","8","0","0","1","0","0","0","29","0","0","0","0","0","0","0","0","0","1","0","0","0","6","0","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"25/6","0","18","1","0","0","6","0","0","0","0","0","0","0","7","0","0","1","0","0","0","26","0","0","0","0","0","0","0","0","0","2","0","0","0","7","0","0","1","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
