"NGÀY","CỘNG ĐỒNG","TỔNG CỘNG ĐỒNG","blockade","community","imported","new_deaths","new_recovered","new_cases","total_cases","total_deaths","total_recovered_12","QUỸ VACCINE (tỷ VNĐ)","SỐ TIỀN QUỸ THEO NGÀY","BẮC","TRUNG","NAM","TỔNG BẮC","TỔNG TRUNG","TỔNG NAM","new_active","total_active","total_cases_2020","total_deaths_2020","total_recovered_2020_25","deaths_per_cases","deaths_1m_pop","cases_1m_pop","ma7_local_cases","ma7_recovered","ma7_deaths","city_by_day","mt7_local_cases","mt7_recovered","mt7_deaths","diff_mt7_local_cases (35)","diff_mt7_recovered","diff_mt7_deaths","per_mt7_local_cases","per_mt7_recovered","per_mt7_deaths","vaccine_doses_41","vaccine_dose_per_pop","total_cities","","day_full","TRUNG BÌNH NHIỄM / 1 TRIỆU NGƯỜI","TRUNG BÌNH TỬ VONG / 1 TRIỆU NGƯỜI","DÂN SỐ VIỆT NAM","new_cases_am","new_cases_pm","ICU_52","ECMO","new_people_vaccined_53","percent_people_fully_vaccined_54","percent_people_only_partly_vaccined_55","percent_people_vaccined_56","Bệnh nhân nặng đang điều trị 58","Thở ô xy qua mặt nạ","Thở ô xy dòng cao HFNC","Thở máy không xâm lấn","Thở máy xâm lấn","Check","Trung bình ca nặng 64"
"27/4","1","1","","","4","0","0","5","5","0","0","","","1","0","0","1","0","0","5","303","2854","35","2516","1,23%","0,4","30","","","","1","","","","","","","","","","318792","0,33%","1","","2021/4/27","25802","547","96484000","","","","","","0,0%","0,3%","0,3%","","","","","","",""
"28/4","0","1","","","8","0","0","8","13","0","0","","","0","0","0","1","0","0","8","311","2862","35","2516","1,22%","0,4","30","","","","0","","","","","","","","","","425638","0,44%","1","","2021/4/28","","","","","","","","","0,0%","0,4%","0,4%","","","","","","",""
"29/4","6","7","","","39","0","0","45","58","0","0","","","5","0","1","6","0","1","45","356","2907","35","2516","1,20%","0,4","30","","","","2","","","","","","","","","","506435","0,52%","3","","2021/4/29","","","","","","","","","0,0%","0,5%","0,5%","","","","","","",""
"30/4","7","14","","","11","0","0","18","76","0","0","","","7","0","0","13","0","1","18","374","2925","35","2516","1,20%","0,4","30","","","","3","","","","","","","","","","519262","0,54%","5","","2021/4/30","","","","","","","","","0,0%","0,5%","0,5%","","","","","","",""
"1/5","3","17","","","11","0","32","14","90","0","32","","","3","0","0","16","0","1","-18","356","2939","35","2548","1,19%","0,4","30","","","","1","","","","","","","","","","519262","0,54%","5","","2021/5/1","","","","","","","","","0,0%","0,5%","0,5%","","","","","","",""
"2/5","8","25","","","12","0","1","20","110","0","33","","","8","0","0","24","0","1","19","375","2959","35","2549","1,18%","0,4","31","","","","2","","","","","","","","","","519262","0,54%","6","","2021/5/2","","","","","","","","","0,0%","0,5%","0,5%","","","","","","",""
"3/5","10","35","","","9","0","11","19","129","0","44","","","10","0","0","34","0","1","8","383","2978","35","2560","1,18%","0,4","31","5","6","0","2","129","44","0","","","","","","","519262","0,54%","6","","2021/5/3","","","","","","","","","0,0%","0,5%","0,5%","","","","","","",""
"4/5","3","38","","","12","0","0","15","144","0","44","","","1","2","0","35","2","1","15","398","2993","35","2560","1,17%","0,4","31","5","6","0","2","139","44","0","","","","","","","519262","0,54%","7","","2021/5/4","","","","","","","","","0,0%","0,5%","0,5%","","","","","","",""
"5/5","18","56","","","8","0","0","26","170","0","44","","","16","1","1","51","3","2","26","424","3019","35","2560","1,16%","0,4","31","8","6","0","4","157","44","0","","","","","","","519262","0,54%","10","","2021/5/5","","","","","","","","","0,0%","0,5%","0,5%","","","","","","",""
"6/5","64","120","","","4","0","0","68","238","0","44","","","60","4","0","111","7","2","68","492","3087","35","2560","1,13%","0,4","32","16","6","0","9","180","44","0","","","","","","","519262","0,54%","14","","2021/5/6","","","","","","","","","0,0%","0,5%","0,5%","","","","","","",""
"7/5","41","161","","","6","0","0","47","285","0","44","","","33","8","0","144","15","2","47","539","3134","35","2560","1,12%","0,4","32","21","6","0","11","209","44","0","","","","","","","519262","0,54%","19","","2021/5/7","","","","","","","","","0,0%","0,5%","0,5%","","","","","","",""
"8/5","80","241","","","13","0","42","93","378","0","86","","","70","10","0","214","25","2","51","590","3227","35","2602","1,08%","0,4","33","32","8","0","13","288","54","0","","","","","","","519262","0,54%","23","","2021/5/8","","","","","","","","","0,0%","0,5%","0,5%","","","","","","",""
"9/5","92","333","","","10","0","0","102","480","0","86","","","70","22","0","284","47","2","102","692","3329","35","2602","1,05%","0,4","35","44","8","0","12","370","53","0","","","","","","","519262","0,54%","26","","2021/5/9","","","","","","","","","0,0%","0,5%","0,5%","","","","","","",""
"10/5","125","458","124","1","4","0","0","129","609","0","86","","","105","20","0","389","67","2","129","821","3458","35","2602","1,01%","0,4","36","60","6","0","11","480","42","0","351","-2","0","272%","-5%","","892454","0,92%","26","","2021/5/10","","","","","","","","","0,0%","0,9%","0,9%","","","","","","",""
"11/5","71","529","70","1","5","0","16","76","685","0","102","","","68","3","0","457","70","2","60","881","3534","35","2618","0,99%","0,4","37","70","8","0","9","541","58","0","402","14","0","289%","32%","","892454","0,92%","26","","2021/5/11","","","","","","","","","0,0%","0,9%","0,9%","","","","","","",""
"12/5","82","611","82","0","4","0","18","86","771","0","120","","","55","27","0","512","97","2","68","949","3620","35","2636","0,97%","0,4","38","79","11","0","11","601","76","0","444","32","0","283%","73%","","942030","0,98%","26","","2021/5/12","","","","","","","","","0,0%","1,0%","1,0%","","","","","","",""
"13/5","73","684","72","1","14","0","21","87","858","0","141","","","40","33","0","552","130","2","66","1015","3707","35","2657","0,94%","0,4","38","81","14","0","10","620","97","0","440","53","0","244%","120%","","959182","0,99%","26","","2021/5/13","","","","","","","","","0,0%","1,0%","1,0%","","","","","","",""
"14/5","104","788","104","0","2","0","0","106","964","0","141","","","100","4","0","652","134","2","106","1121","3813","35","2657","0,92%","0,4","40","90","14","0","9","679","97","0","470","53","0","225%","120%","","969697","1,01%","26","","2021/5/14","","","","","","","","","0,0%","1,0%","1,0%","","","","","","",""
"15/5","165","953","165","0","4","1","11","169","1133","1","152","","","154","11","0","806","145","2","157","1278","3982","36","2668","0,90%","0,4","41","102","9","0","11","755","66","1","467","12","1","162%","22%","","977032","1,01%","26","","2021/5/15","","","","","","","","","0,0%","1,0%","1,0%","","","","","","",""
"16/5","187","1140","185","2","3","0","0","190","1323","1","152","","","163","24","0","969","169","2","190","1468","4172","36","2668","0,86%","0,4","43","115","9","0","9","843","66","1","473","13","1","128%","25%","","979238","1,01%","26","","2021/5/16","","","","","","","","","0,0%","1,0%","1,0%","","","","","","",""
"17/5","181","1321","181","0","3","1","0","184","1507","2","152","","","167","14","0","1136","183","2","183","1651","4356","37","2668","0,85%","0,4","45","123","9","0","11","898","66","2","418","24","2","87%","57%","","979238","1,01%","27","","2021/5/17","","","","","","","","","0,0%","1,0%","1,0%","","","","","","",""
"18/5","152","1473","151","1","1","0","19","153","1660","2","171","","","143","9","0","1279","192","2","134","1785","4509","37","2687","0,82%","0,4","47","135","10","0","11","975","69","2","434","11","2","80%","19%","","1011395","1,05%","28","","2021/5/18","","","","","","","","","0,0%","1,0%","1,0%","","","","","","",""
"19/5","175","1648","172","3","3","0","0","178","1838","2","171","","","164","9","2","1443","201","4","178","1963","4687","37","2687","0,79%","0,4","49","148","7","0","10","1067","51","2","466","-25","2","78%","-33%","","1011395","1,05%","28","","2021/5/19","","","","","","","","","0,0%","1,0%","1,0%","","","","","","",""
"20/5","114","1762","109","5","5","2","0","119","1957","4","171","","","105","6","3","1548","207","7","117","2080","4806","39","2687","0,81%","0,4","50","154","4","1","12","1099","30","4","479","-67","4","77%","-69%","","1011395","1,05%","30","","2021/5/20","","","","","","","","","0,0%","1,0%","1,0%","","","","","","",""
"21/5","131","1893","130","1","1","2","2","132","2089","6","173","","","122","9","0","1670","216","7","128","2208","4938","41","2689","0,83%","0,4","51","158","5","1","8","1125","32","6","446","-65","6","66%","-67%","","1011395","1,05%","30","","2021/5/21","","","","","","","","","0,0%","1,0%","1,0%","","","","","","",""
"22/5","143","2036","142","1","2","0","32","145","2234","6","205","","","137","6","0","1807","222","7","113","2321","5083","41","2721","0,81%","0,4","53","155","8","1","11","1101","53","5","346","-13","4","46%","-20%","400%","1027659","1,07%","30","","2021/5/22","","","","","","","","","0,0%","1,0%","1,0%","","","","","","",""
"23/5","129","2165","127","2","2","1","0","131","2365","7","205","","","128","1","0","1935","223","7","130","2451","5214","42","2721","0,81%","0,4","54","146","8","1","6","1042","53","6","199","-13","5","24%","-20%","500%","1027659","1,07%","30","","2021/5/23","","","","","","","","","0,0%","1,0%","1,0%","","","","","","",""
"24/5","184","2349","183","1","3","2","73","187","2552","9","278","","","180","3","1","2115","226","8","112","2563","5401","44","2794","0,81%","0,5","56","147","18","1","8","1045","126","7","147","60","5","16%","91%","250%","1027659","1,07%","30","","2021/5/24","","","","","","","","","0,0%","1,0%","1,0%","","","","","","",""
"25/5","444","2793","444","0","3","0","0","447","2999","9","278","","","440","3","1","2555","229","9","447","3010","5848","44","2794","0,75%","0,5","61","189","15","1","9","1339","107","7","364","38","5","37%","55%","250%","1027659","1,07%","30","","2021/5/25","","","","","","","","","0,0%","1,0%","1,0%","","","","","","",""
"26/5","235","3028","235","0","0","1","59","235","3234","10","337","","","233","2","0","2788","231","9","175","3185","6083","45","2853","0,74%","0,5","63","197","24","1","7","1396","166","8","329","115","6","31%","225%","300%","1034867","1,07%","30","","2021/5/26","","","","","","","","","0,0%","1,0%","1,0%","","","","","","",""
"27/5","227","3255","227","0","3","1","0","230","3464","11","337","","","189","2","36","2977","233","45","229","3414","6313","46","2853","0,73%","0,5","65","213","24","1","8","1507","166","7","408","136","3","37%","453%","75%","1034867","1,07%","30","","2021/5/27","","","","","","","","4129","0,0%","1,0%","1,0%","","","","","","",""
"28/5","253","3508","248","5","1","1","43","254","3718","12","380","","","227","0","26","3204","233","71","210","3624","6567","47","2896","0,72%","0,5","68","231","30","1","10","1629","207","6","504","175","0","45%","547%","0%","1034867","1,07%","31","","2021/5/28","","","","","","","","","0,0%","1,0%","1,0%","","","","","","",""
"29/5","277","3785","274","3","9","0","0","286","4004","12","380","","","243","2","32","3447","235","103","286","3910","6853","47","2896","0,69%","0,5","71","250","25","1","12","1770","175","6","669","122","1","61%","230%","20%","1034867","1,07%","34","","2021/5/29","","","","","","","","91228","0,0%","1,0%","1,0%","","","","","","",""
"30/5","250","4035","250","0","1","0","54","251","4255","12","434","","","189","1","60","3636","236","163","197","4107","7104","47","2950","0,66%","0,5","74","267","33","1","8","1890","229","5","848","176","-1","81%","332%","-17%","1034867","1,07%","34","","2021/5/30","","","","","","","","3791","0,0%","1,0%","1,0%","","","","","","",""
"31/5","211","4246","211","0","3","0","80","214","4469","12","514","","","203","2","6","3839","238","169","134","4241","7318","47","3030","0,64%","0,5","76","271","34","0","9","1917","236","3","872","110","-4","83%","87%","-57%","1102099","1,14%","36","","2021/5/31","","","","","","","","16317","0,0%","1,1%","1,1%","","","","","","",""
"1/6","250","4496","248","2","1","1","13","251","4720","13","527","","","175","0","75","4014","238","244","237","4478","7569","48","3043","0,63%","0,5","78","243","36","1","10","1721","249","4","382","142","-3","29%","133%","-43%","1102099","1,14%","37","","2021/6/1","","","","","","","","29773","0,0%","1,1%","1,1%","","","","","","",""
"2/6","229","4725","225","4","12","1","42","241","4961","14","569","","","197","1","31","4211","239","275","198","4676","7810","49","3085","0,63%","0,5","81","242","33","1","6","1727","232","4","331","66","-4","24%","40%","-50%","1110111","1,15%","37","","2021/6/2","","","","","","","","11733","0,0%","1,1%","1,1%","","","","","","",""
"3/6","231","4956","228","3","19","0","0","250","5211","14","569","","","199","0","32","4410","239","307","250","4926","8060","49","3085","0,61%","0,5","84","243","33","0","7","1747","232","3","240","66","-4","16%","40%","-57%","1156056","1,20%","37","","2021/6/3","","","","","","","","45571","0,0%","1,1%","1,2%","","","","","","",""
"4/6","219","5175","212","7","5","2","157","224","5435","16","726","","","193","0","26","4603","239","333","65","4991","8284","51","3242","0,62%","0,5","86","238","49","1","5","1717","346","4","88","139","-2","5%","67%","-33%","1217607","1,26%","37","","2021/6/4","","","","","","","","60701","0,0%","1,2%","1,2%","","","","","","",""
"5/6","246","5421","245","1","8","2","68","254","5689","18","794","","","210","2","34","4813","241","367","184","5175","8538","53","3310","0,62%","0,5","88","234","59","1","10","1685","414","6","-85","239","0","-5%","137%","0%","1243304","1,29%","39","","2021/6/5","","","","","","","","24466","0,0%","1,2%","1,3%","","","","","","",""
"6/6","201","5622","198","3","5","0","58","206","5895","18","852","","","163","5","33","4976","246","400","148","5323","8744","53","3368","0,61%","0,5","91","227","60","1","6","1640","418","6","-250","189","1","-13%","83%","20%","1248559","1,29%","39","","2021/6/6","","","","","","","","5244","0,0%","1,2%","1,3%","","","","","","",""
"7/6","211","5833","200","11","25","0","141","236","6131","18","993","","","162","2","47","5138","248","447","95","5418","8980","53","3509","0,59%","0,5","93","227","68","1","8","1662","479","6","-255","243","3","-13%","103%","100%","1340098","1,39%","39","","2021/6/7","","","","","","","","87016","0,0%","1,3%","1,3%","","","","","","",""
"8/6","171","6004","165","6","4","2","40","175","6306","20","1033","4176","","131","1","39","5269","249","486","133","5551","9155","55","3549","0,60%","0,6","95","215","72","1","6","1586","506","7","-135","257","3","-8%","103%","75%","1354856","1,40%","39","","2021/6/8","","","","","","","","10119","0,0%","1,3%","1,4%","","","","","","",""
"9/6","381","6385","370","11","26","0","87","407","6713","20","1120","4215","39","338","3","40","5607","252","526","320","5871","9562","55","3636","0,58%","0,6","99","237","79","1","6","1752","551","6","25","319","2","1%","138%","50%","1389887","1,44%","39","","2021/6/9","","","","","","","","29967","0,0%","1,3%","1,4%","","","","","","",""
"10/6","211","6596","188","23","8","0","72","219","6932","20","1192","4255","40","142","5","64","5749","257","590","147","6018","9781","55","3708","0,56%","0,6","101","234","89","1","9","1721","623","6","-26","391","3","-1%","169%","100%","1411548","1,46%","39","","2021/6/10","","","","","","","","18817","0,1%","1,4%","1,4%","","","","","","",""
"11/6","185","6781","168","17","11","2","96","196","7128","22","1288","4443","188","129","8","48","5878","265","638","98","6116","9977","57","3804","0,57%","0,6","103","229","80","1","5","1693","562","6","-24","216","2","-1%","62%","50%","1445723","1,50%","39","","2021/6/11","","","","","","","","31071","0,1%","1,4%","1,4%","","","","","","",""
"12/6","259","7040","246","13","2","1","23","261","7389","23","1311","4845","402","160","5","94","6038","270","732","237","6353","10238","58","3827","0,57%","0,6","106","231","74","1","6","1700","517","5","15","103","-1","1%","25%","-17%","1454221","1,51%","39","","2021/6/12","","","","","","","","7240","0,1%","1,4%","1,5%","","","","","","",""
"13/6","293","7333","254","39","4","1","171","297","7686","24","1482","4851","6","188","9","96","6226","279","828","125","6478","10535","59","3998","0,56%","0,6","109","244","90","1","8","1791","630","6","151","212","0","9%","51%","0%","1498323","1,55%","39","","2021/6/13","","","","","","","","43222","0,1%","1,4%","1,5%","","","","","","",""
"14/6","266","7599","236","30","6","2","238","272","7958","26","1720","5080","229","143","23","100","6369","302","928","32","6510","10807","59","4236","0,55%","0,6","112","252","104","1","9","1827","727","8","165","248","2","10%","52%","33%","1552651","1,61%","40","","2021/6/14","","","","","","","","54328","0,1%","1,5%","1,5%","","","","","","",""
"15/6","398","7997","204","194","4","0","303","402","8360","26","2023","5126","46","293","3","102","6662","305","1030","99","6609","11209","61","4539","0,54%","0,6","116","285","141","1","7","2054","990","6","468","484","-1","30%","96%","-14%","1648072","1,71%","40","","2021/6/15","","","","","","","","95421","0,1%","1,6%","1,6%","","","","","","",""
"16/6","414","8411","398","16","9","0","47","423","8783","26","2070","5543","417","308","7","99","6970","312","1129","376","6985","11632","61","4586","0,52%","0,6","121","289","136","1","7","2070","950","6","318","399","0","18%","72%","0%","1773297","1,84%","40","","2021/6/16","","","","","","","","125225","0,1%","1,7%","1,8%","","","","","","",""
"17/6","503","8914","495","8","12","0","63","515","9298","26","2133","5698","155","341","5","157","7311","317","1286","452","7437","12147","61","4649","0,50%","0,6","126","331","134","1","8","2366","941","6","645","318","0","37%","51%","0%","1991059","2,06%","40","","2021/6/17","","","","","","","","200263","0,1%","1,9%","2,0%","","","","","","",""
"18/6","259","9173","232","27","5","1","80","264","9562","27","2213","5772","74","95","3","161","7406","320","1447","183","7620","12411","62","4729","0,50%","0,6","129","342","132","1","7","2434","925","5","741","363","-1","44%","65%","-17%","2233208","2,31%","41","","2021/6/18","","","","","","","","249915","0,1%","2,1%","2,2%","","","","","","",""
"19/6","471","9644","258","213","15","2","321","486","10048","29","2534","5775","3","270","25","176","7676","345","1623","163","7783","12897","64","5050","0,50%","0,7","134","372","175","1","15","2659","1223","6","959","706","1","56%","137%","20%","2359376","2,45%","41","","2021/6/19","","","","","","","","0","0,1%","2,2%","2,3%","","","","","","",""
"20/6","300","9944","281","19","11","2","175","311","10359","31","2709","5777","2","115","34","151","7791","379","1774","134","7917","13208","66","5225","0,50%","0,7","137","373","175","1","9","2673","1227","7","882","597","1","49%","95%","17%","2422643","2,51%","42","","2021/6/20","","","","","","","","60955","0,1%","2,3%","2,4%","","","","","","",""
"21/6","267","10211","258","9","5","3","224","272","10631","34","2933","5972","195","66","11","190","7857","390","1964","45","7962","13480","69","5449","0,51%","0,7","140","373","173","1","10","2673","1213","8","846","486","0","46%","67%","0%","2422643","2,51%","42","","2021/6/21","","","","","","","","0","0,1%","2,3%","2,4%","","","","","","",""
"22/6","230","10441","217","13","14","0","93","244","10875","34","3026","6882","910","44","9","177","7901","399","2141","151","8113","13724","69","5542","0,50%","0,7","142","349","143","1","14","2515","1003","8","461","13","2","22%","1%","33%","2569156","2,66%","43","","2021/6/22","","","","","","","","107772","0,1%","2,4%","2,5%","","","","","","",""
"23/6","217","10658","196","21","3","1","138","220","11095","35","3164","7450","568","22","13","182","7923","412","2323","81","8194","13944","70","5680","0,50%","0,7","145","321","156","1","11","2312","1094","9","242","144","3","12%","15%","50%","2626337","2,72%","44","","2021/6/23","","","","","","","","100374","0,1%","2,4%","2,6%","","","","","","",""
"24/6","279","10937","260","19","6","2","75","285","11380","37","3239","7523","73","43","34","202","7966","446","2525","208","8402","14229","72","5755","0,51%","0,7","147","289","158","2","14","2082","1106","11","-284","165","5","-12%","18%","83%","2920248","3,03%","46","","2021/6/24","","","","","","","","215100","0,1%","2,7%","2,9%","","","","","","",""
"25/6","845","11782","814","31","23","2","190","868","12248","39","3429","7523","0","38","21","786","8004","467","3311","676","9078","15097","74","5945","0,49%","0,8","156","373","174","2","18","2686","1216","12","252","291","7","10%","31%","140%","3087580","3,20%","47","","2021/6/25","","","","","","","","167646","0,2%","2,9%","3,0%","","","","","","",""
"26/6","164","11946","131","33","11","0","188","175","12423","39","3617","7713","190","37","43","84","8041","510","3395","-13","9065","15272","74","6133","0,48%","0,8","158","329","155","1","18","2375","1083","10","-284","-140","4","-11%","-11%","67%","3299232","3,42%","48","","2021/6/26","","","","","","","","211729","0,2%","3,1%","3,3%","","","","","","",""
"27/6","359","12305","284","30","9","2","182","368","12791","41","3799","7716","3","42","29","243","8083","539","3638","184","9249","15595","76","6315","0,49%","0,8","162","337","156","1","11","2432","1090","10","-241","-137","3","-9%","-11%","43%","3386607","3,51%","48","","2021/6/27","","","","","","","","87375","0,2%","3,2%","3,3%","","","","","","",""
"28/6","389","12694","340","42","9","0","200","398","13189","41","3999","7807","91","50","56","276","8133","595","3914","198","9447","15986","76","6515","0,48%","0,8","166","355","152","1","19","2558","1066","7","-115","-147","-1","-4%","-12%","-13%","3497104","3,62%","48","","2021/6/28","","","","","","","","112344","0,2%","3,3%","3,4%","","","","","","",""
"29/6","361","13055","308","53","11","4","245","372","13561","45","4244","7810","3","51","68","242","8184","663","4156","123","9570","16358","80","6760","0,49%","0,8","170","373","174","2","19","2686","1218","11","171","215","3","7%","21%","38%","3593970","3,72%","49","","2021/6/29","","","","","","","","91228","0,2%","3,3%","3,5%","","","","","","",""
"30/6","441","13496","420","21","9","1","76","450","14011","46","4320","7957","147","32","51","358","8216","714","4514","373","9943","16808","81","6836","0,48%","0,8","174","405","165","2","17","2916","1156","11","604","62","2","26%","6%","22%","3776980","3,91%","50","","2021/6/30","","","","","","","","179188","0,2%","3,5%","3,7%","","","","","","",""
"1/7","693","14189","584","109","20","0","407","713","14724","46","4727","7986","29","19","46","628","8235","760","5142","306","10249","17521","81","7243","0,46%","0,8","182","465","213","1","16","3344","1488","9","1262","382","-2","61%","35%","-18%","3813767","3,95%","51","","2021/7/1","","","","","","","","39537","0,2%","3,5%","3,7%","","","","","","",""
"2/7","527","14716","428","99","18","3","148","545","15269","49","4875","8038","52","8","59","460","8243","819","5602","394","10643","18066","84","7391","0,46%","0,9","187","419","207","1","21","3021","1446","10","335","230","-2","12%","19%","-17%","3842646","3,98%","52","","2021/7/2","","","","","","","","27843","0,2%","3,5%","3,8%","","","","","","",""
"3/7","914","15630","792","122","8","0","248","922","16191","49","5123","8041","3","12","78","824","8255","897","6426","674","11317","18988","84","7639","0,44%","0,9","197","526","215","1","21","3768","1506","10","1393","423","0","59%","39%","0%","3867407","4,01%","52","","2021/7/3","","","","","","","","17979","0,2%","3,6%","3,8%","","","","","","",""
"4/7","876","16506","824","52","14","2","176","890","17081","51","5299","8043","2","8","61","807","8263","958","7233","712","12029","19878","86","7815","0,43%","0,9","206","600","214","1","23","4290","1500","10","1858","410","0","76%","38%","0%","3890855","4,03%","54","","2021/7/4","","","","","","","","24325","0,2%","3,6%","3,8%","","","","","","",""
